preyID,Eaten_day,outcome,Rx,sal
4,1,1,0x,13
5,1,1,0x,13
6,1,1,0x,13
7,1,1,0x,13
8,1,1,0x,13
9,1,1,0x,13
10,2,1,0x,13
1,1,1,0x,14
2,1,1,0x,14
3,1,1,0x,14
4,1,1,0x,14
5,1,1,0x,14
6,1,1,0x,14
7,1,1,0x,14
8,1,1,0x,14
9,1,1,0x,14
10,6,1,0x,14
1,1,1,0x,15.1
2,1,1,0x,15.1
3,1,1,0x,15.1
4,1,1,0x,15.1
5,1,1,0x,15.1
6,1,1,0x,15.1
7,1,1,0x,15.1
8,1,1,0x,15.1
9,1,1,0x,15.1
10,1,1,0x,15.1
1,1,1,0x,16
2,1,1,0x,16
3,1,1,0x,16
4,1,1,0x,16
5,1,1,0x,16
6,1,1,0x,16
7,1,1,0x,16
8,1,1,0x,16
9,1,1,0x,16
10,1,1,0x,16
1,1,1,0x,17
2,1,1,0x,17
3,1,1,0x,17
4,1,1,0x,17
5,1,1,0x,17
6,1,1,0x,17
7,1,1,0x,17
8,1,1,0x,17
9,1,1,0x,17
10,1,1,0x,17
1,1,1,0x,20
2,1,1,0x,20
3,1,1,0x,20
4,1,1,0x,20
5,1,1,0x,20
6,1,1,0x,20
7,1,1,0x,20
8,1,1,0x,20
9,1,1,0x,20
10,2,1,0x,20
1,1,1,0x,23.1
2,1,1,0x,23.1
3,1,1,0x,23.1
4,1,1,0x,23.1
5,1,1,0x,23.1
6,1,1,0x,23.1
7,1,1,0x,23.1
8,1,1,0x,23.1
9,1,1,0x,23.1
10,1,1,0x,23.1
1,1,1,0x,27.1
2,1,1,0x,27.1
3,1,1,0x,27.1
4,1,1,0x,27.1
5,1,1,0x,27.1
6,1,1,0x,27.1
7,1,1,0x,27.1
8,1,1,0x,27.1
9,1,1,0x,27.1
10,2,1,0x,27.1
1,1,1,0x,29
2,1,1,0x,29
3,1,1,0x,29
4,1,1,0x,29
5,1,1,0x,29
6,1,1,0x,29
7,1,1,0x,29
8,1,1,0x,29
9,2,1,0x,29
10,2,1,0x,29
1,1,1,0x,34
2,1,1,0x,34
3,1,1,0x,34
4,1,1,0x,34
5,1,1,0x,34
6,1,1,0x,34
7,1,1,0x,34
8,1,1,0x,34
9,1,1,0x,34
10,1,1,0x,34
1,1,1,0x,35
2,1,1,0x,35
3,1,1,0x,35
4,1,1,0x,35
5,1,1,0x,35
6,1,1,0x,35
7,1,1,0x,35
8,1,1,0x,35
9,1,1,0x,35
10,1,1,0x,35
1,1,1,0x,37
2,1,1,0x,37
3,1,1,0x,37
4,1,1,0x,37
5,1,1,0x,37
6,1,1,0x,37
7,1,1,0x,37
8,1,1,0x,37
9,1,1,0x,37
10,4,1,0x,37
1,1,1,0x,41
2,1,1,0x,41
3,1,1,0x,41
4,1,1,0x,41
5,1,1,0x,41
6,1,1,0x,41
7,1,1,0x,41
8,1,1,0x,41
9,1,1,0x,41
10,2,1,0x,41
1,1,1,0x,42
2,1,1,0x,42
3,1,1,0x,42
4,1,1,0x,42
5,1,1,0x,42
6,1,1,0x,42
7,1,1,0x,42
8,2,1,0x,42
9,3,1,0x,42
10,3,1,0x,42
1,1,1,0x,43
2,1,1,0x,43
3,1,1,0x,43
4,1,1,0x,43
5,1,1,0x,43
6,1,1,0x,43
7,1,1,0x,43
8,1,1,0x,43
9,1,1,0x,43
10,1,1,0x,43
1,1,1,0x,45
2,1,1,0x,45
3,1,1,0x,45
4,1,1,0x,45
5,1,1,0x,45
6,1,1,0x,45
7,1,1,0x,45
8,1,1,0x,45
9,1,1,0x,45
10,1,1,0x,45
1,1,1,0x,47
2,1,1,0x,47
3,1,1,0x,47
4,1,1,0x,47
5,1,1,0x,47
6,1,1,0x,47
7,1,1,0x,47
8,1,1,0x,47
9,1,1,0x,47
10,1,1,0x,47
1,1,1,1x,4
2,1,1,1x,4
3,1,1,1x,4
4,1,1,1x,4
5,1,1,1x,4
6,1,1,1x,4
7,1,1,1x,4
8,1,1,1x,4
9,1,1,1x,4
10,1,1,1x,4
1,1,1,1x,6.1
2,1,1,1x,6.1
3,1,1,1x,6.1
4,1,1,1x,6.1
5,1,1,1x,6.1
6,1,1,1x,6.1
7,1,1,1x,6.1
8,1,1,1x,6.1
9,1,1,1x,6.1
10,1,1,1x,6.1
1,1,1,1x,7
2,1,1,1x,7
3,1,1,1x,7
4,1,1,1x,7
5,1,1,1x,7
6,1,1,1x,7
7,1,1,1x,7
8,1,1,1x,7
9,1,1,1x,7
10,1,1,1x,7
1,1,1,1x,9.1
2,1,1,1x,9.1
3,1,1,1x,9.1
4,1,1,1x,9.1
5,1,1,1x,9.1
6,1,1,1x,9.1
7,1,1,1x,9.1
8,1,1,1x,9.1
9,1,1,1x,9.1
10,3,1,1x,9.1
1,1,1,1x,10
2,1,1,1x,10
3,1,1,1x,10
4,1,1,1x,10
5,1,1,1x,10
6,1,1,1x,10
7,1,1,1x,10
8,1,1,1x,10
9,3,1,1x,10
10,7,1,1x,10
1,1,1,1x,18
2,1,1,1x,18
3,1,1,1x,18
4,1,1,1x,18
5,1,1,1x,18
6,1,1,1x,18
7,1,1,1x,18
8,1,1,1x,18
9,1,1,1x,18
10,5,1,1x,18
1,1,1,1x,19
2,1,1,1x,19
3,1,1,1x,19
4,1,1,1x,19
5,1,1,1x,19
6,1,1,1x,19
7,1,1,1x,19
8,1,1,1x,19
9,1,1,1x,19
10,1,1,1x,19
1,2,1,1x,21
2,2,1,1x,21
3,2,1,1x,21
4,2,1,1x,21
5,2,1,1x,21
6,3,1,1x,21
7,3,1,1x,21
8,4,1,1x,21
9,4,1,1x,21
10,4,1,1x,21
1,1,1,1x,22.1
2,1,1,1x,22.1
3,1,1,1x,22.1
4,1,1,1x,22.1
5,1,1,1x,22.1
6,1,1,1x,22.1
7,1,1,1x,22.1
8,1,1,1x,22.1
9,1,1,1x,22.1
10,1,1,1x,22.1
1,1,1,1x,24
2,1,1,1x,24
3,1,1,1x,24
4,1,1,1x,24
5,1,1,1x,24
6,1,1,1x,24
7,1,1,1x,24
8,1,1,1x,24
9,2,1,1x,24
10,3,1,1x,24
1,1,1,1x,25.1
2,1,1,1x,25.1
3,1,1,1x,25.1
4,1,1,1x,25.1
5,1,1,1x,25.1
6,1,1,1x,25.1
7,1,1,1x,25.1
8,1,1,1x,25.1
9,1,1,1x,25.1
10,1,1,1x,25.1
1,1,1,1x,25.2
2,1,1,1x,25.2
