preyID,Eaten_day,outcome,Rx,Sp,sal
9,9,0,2x,D. variabilis (Nymph),12
10,9,0,2x,D. variabilis (Nymph),12
1,1,1,2x,D. variabilis (Nymph),15
2,2,1,2x,D. variabilis (Nymph),15
3,2,1,2x,D. variabilis (Nymph),15
4,2,1,2x,D. variabilis (Nymph),15
5,2,1,2x,D. variabilis (Nymph),15
6,2,1,2x,D. variabilis (Nymph),15
7,2,1,2x,D. variabilis (Nymph),15
8,9,0,2x,D. variabilis (Nymph),15
9,9,0,2x,D. variabilis (Nymph),15
10,9,0,2x,D. variabilis (Nymph),15
1,1,1,2x,D. variabilis (Nymph),39
2,1,1,2x,D. variabilis (Nymph),39
3,3,1,2x,D. variabilis (Nymph),39
4,8,1,2x,D. variabilis (Nymph),39
5,8,1,2x,D. variabilis (Nymph),39
6,9,0,2x,D. variabilis (Nymph),39
7,9,0,2x,D. variabilis (Nymph),39
8,9,0,2x,D. variabilis (Nymph),39
9,9,0,2x,D. variabilis (Nymph),39
10,9,0,2x,D. variabilis (Nymph),39
1,2,1,2x,D. variabilis (Nymph),43
2,4,1,2x,D. variabilis (Nymph),43
3,5,1,2x,D. variabilis (Nymph),43
4,9,0,2x,D. variabilis (Nymph),43
5,9,0,2x,D. variabilis (Nymph),43
6,9,0,2x,D. variabilis (Nymph),43
7,9,0,2x,D. variabilis (Nymph),43
8,9,0,2x,D. variabilis (Nymph),43
9,9,0,2x,D. variabilis (Nymph),43
10,9,0,2x,D. variabilis (Nymph),43
1,1,1,2x,D. variabilis (Nymph),44
2,2,1,2x,D. variabilis (Nymph),44
3,5,1,2x,D. variabilis (Nymph),44
4,6,1,2x,D. variabilis (Nymph),44
5,6,1,2x,D. variabilis (Nymph),44
6,6,1,2x,D. variabilis (Nymph),44
7,9,0,2x,D. variabilis (Nymph),44
8,9,0,2x,D. variabilis (Nymph),44
9,9,0,2x,D. variabilis (Nymph),44
10,9,0,2x,D. variabilis (Nymph),44
1,1,1,2x,D. variabilis (Nymph),45
2,1,1,2x,D. variabilis (Nymph),45
3,1,1,2x,D. variabilis (Nymph),45
4,2,1,2x,D. variabilis (Nymph),45
5,2,1,2x,D. variabilis (Nymph),45
6,2,1,2x,D. variabilis (Nymph),45
7,4,1,2x,D. variabilis (Nymph),45
8,9,0,2x,D. variabilis (Nymph),45
9,9,0,2x,D. variabilis (Nymph),45
10,9,0,2x,D. variabilis (Nymph),45
1,1,1,3x,D. variabilis (Nymph),10
2,1,1,3x,D. variabilis (Nymph),10
3,1,1,3x,D. variabilis (Nymph),10
4,1,1,3x,D. variabilis (Nymph),10
5,2,1,3x,D. variabilis (Nymph),10
6,2,1,3x,D. variabilis (Nymph),10
7,4,1,3x,D. variabilis (Nymph),10
8,9,0,3x,D. variabilis (Nymph),10
9,9,0,3x,D. variabilis (Nymph),10
10,9,0,3x,D. variabilis (Nymph),10
1,1,1,3x,D. variabilis (Nymph),17
2,1,1,3x,D. variabilis (Nymph),17
3,1,1,3x,D. variabilis (Nymph),17
4,2,1,3x,D. variabilis (Nymph),17
5,3,1,3x,D. variabilis (Nymph),17
6,3,1,3x,D. variabilis (Nymph),17
7,9,0,3x,D. variabilis (Nymph),17
8,9,0,3x,D. variabilis (Nymph),17
9,9,0,3x,D. variabilis (Nymph),17
10,9,0,3x,D. variabilis (Nymph),17
1,1,1,3x,D. variabilis (Nymph),19
2,3,1,3x,D. variabilis (Nymph),19
3,5,1,3x,D. variabilis (Nymph),19
4,6,1,3x,D. variabilis (Nymph),19
5,9,0,3x,D. variabilis (Nymph),19
6,9,0,3x,D. variabilis (Nymph),19
7,9,0,3x,D. variabilis (Nymph),19
8,9,0,3x,D. variabilis (Nymph),19
9,9,0,3x,D. variabilis (Nymph),19
10,9,0,3x,D. variabilis (Nymph),19
1,1,1,3x,D. variabilis (Nymph),20
2,1,1,3x,D. variabilis (Nymph),20
3,2,1,3x,D. variabilis (Nymph),20
4,8,1,3x,D. variabilis (Nymph),20
5,8,1,3x,D. variabilis (Nymph),20
6,9,0,3x,D. variabilis (Nymph),20
7,9,0,3x,D. variabilis (Nymph),20
8,9,0,3x,D. variabilis (Nymph),20
9,9,0,3x,D. variabilis (Nymph),20
10,9,0,3x,D. variabilis (Nymph),20
1,1,1,3x,D. variabilis (Nymph),23
2,1,1,3x,D. variabilis (Nymph),23
3,1,1,3x,D. variabilis (Nymph),23
4,1,1,3x,D. variabilis (Nymph),23
5,1,1,3x,D. variabilis (Nymph),23
6,9,0,3x,D. variabilis (Nymph),23
7,9,0,3x,D. variabilis (Nymph),23
8,9,0,3x,D. variabilis (Nymph),23
9,9,0,3x,D. variabilis (Nymph),23
10,9,0,3x,D. variabilis (Nymph),23
1,1,1,3x,D. variabilis (Nymph),31
2,1,1,3x,D. variabilis (Nymph),31
3,1,1,3x,D. variabilis (Nymph),31
4,8,1,3x,D. variabilis (Nymph),31
5,8,1,3x,D. variabilis (Nymph),31
6,9,0,3x,D. variabilis (Nymph),31
7,9,0,3x,D. variabilis (Nymph),31
8,9,0,3x,D. variabilis (Nymph),31
9,9,0,3x,D. variabilis (Nymph),31
10,9,0,3x,D. variabilis (Nymph),31
1,1,1,3x,D. variabilis (Nymph),32
2,1,1,3x,D. variabilis (Nymph),32
3,2,1,3x,D. variabilis (Nymph),32
4,2,1,3x,D. variabilis (Nymph),32
5,2,1,3x,D. variabilis (Nymph),32
6,5,1,3x,D. variabilis (Nymph),32
7,7,1,3x,D. variabilis (Nymph),32
8,9,0,3x,D. variabilis (Nymph),32
9,9,0,3x,D. variabilis (Nymph),32
10,9,0,3x,D. variabilis (Nymph),32
1,1,1,3x,D. variabilis (Nymph),36
2,1,1,3x,D. variabilis (Nymph),36
3,3,1,3x,D. variabilis (Nymph),36
4,3,1,3x,D. variabilis (Nymph),36
5,6,1,3x,D. variabilis (Nymph),36
6,9,0,3x,D. variabilis (Nymph),36
7,9,0,3x,D. variabilis (Nymph),36
8,9,0,3x,D. variabilis (Nymph),36
9,9,0,3x,D. variabilis (Nymph),36
10,9,0,3x,D. variabilis (Nymph),36
